,Nome do campo,Campo,Tipo,Categoria,Descrição,Características,DBF
28,38-Exame sorológico (IgM) Chikungunya Soro 2 Resultado,tp_result_exame,VARCHAR(1),"1-Reagente
2-Não Reagente
3-Inconclusivo
4-Não realizado","Resultado do Exame Sorológico (IgM) soro 2
para Chikunugnya","Campo Essencial
Habilitado apenas se
campo 2-Agravo/doença=
2 Chikungunya",RES_CHIKS2
29,38-Exame PRNT Resultado,tp_result_exame,VARCHAR(1),"1-Reagente
2-Não Reagente
3-Inconclusivo
4-Não realizado",Resultado do Exame Sorológico (IgM) PRNT,"Campo Essencial
Habilitado apenas se
campo 2-Agravo/doença=
2 Chikungunya",RESUL_PRNT
30,39-Exame sorológico (IgM) Dengue Data da Coleta,dt_coleta_exame,DATE,,"Data da Coleta Exame Sorológico (IgM)
Dengue","Campo Essencial
Deve ser maior ou igual à
data de primeiros
sintomas.
Habilitado apenas se
campo 2-Agravo/doença=
1 Dengue.",DT_SORO
31,40-Exame sorológico (IgM) Dengue Resultado,tp_result_exame,VARCHAR(1),"1-Reagente
2-Não Reagente
3-Inconclusivo
4-Não realizado",Resultado do Exame Sorológico (IgM) Dengue,"Campo Essencial
Habilitado apenas se
campo 2-Agravo/doença=
1- Dengue",RESUL_SORO
32,41- Exame NS1 Data da Coleta,dt_coleta_NS1,DATE,,Data da coleta Exame Sorologia ELISA,"Campo Essencial
Deve ser maior ou igual à
data de primeiros
sintomas. Habilitado
apenas se campo 2-
Agravo/doença= 1-
Dengue",DT_NS1
33,42- Exame NS1 Resultado,Tp_result_NS1,VARCHAR(1),"1-Positivo
2-Negativo
3-Inconclusivo
4-Não realizado",Resultado do Exame Sorologia ELISA,"Campo Essencial
Habilitado apenas se
campo 2-Agravo/doença=
1- Dengue",RESUL_NS1
34,43-Isolamento Viral Data da Coleta,dt_coleta_isolamento,DATE,,Data da Coleta Isolamento Viral,"Campo Essencial
Deve ser maior ou igual à
data de primeiros
sintomas.
Habilitado para dengue ou
chikungunya (campo 2-
Agravo/doença)",DT_VIRAL
35,43-Isolamento Viral Resultado,tp_result_isolamento,VARCHAR(1),"1-Positivo
2-Negativo
3-Inconclusivo
4-Não realizado",Resultado Exame de Isolamento Viral,"Campo Essencial
Habilitado para dengue ou
chikungunya (campo 2-
Agravo/doença)",RESUL_VI_N
36,45-RT-PCR Data da Coleta,dt_coleta_rtpcr,DATE,,Data de Coleta do Exame de RT-PCR,"Campo essencial
Deve ser maior ou igual à
data de primeiros
sintomas.
Habilitado para dengue ou
chikungunya (campo 2-
Agravo/doença)",DT_PCR
37,46-RT-PCR Resultado,tp_result_rtpcr,VARCHAR(1),"1-Positivo
2-Negativo
3-Inconclusivo
4-Não realizado",Resultado do Exame de RT-PCR,"Campo essencial
Habilitado para dengue ou
chikungunya (campo 2-
Agravo/doença)",RESUL_PCR_
38,47-Sorotipo,tp_sorotipo,VARCHAR(1),"1-DEN 1
2-DEN 2
3 DEN 3
4-DEN 4",Sorotipo,"Campo obrigatório
Se campo 44-Isolamento
Viral(resultado) ou campo
46-RT-PCR (resultado)=
1(positivo).
Campo desabilitado se
campo 44-Isolamento
Viral(resultado) e campo
46-RT-PCR(resultado)
diferente de 1(positivo).
Habilitado apenas se
campo 2-Agravo/doença=
1- Dengue",SOROTIPO
39,48-Histopatologia Resultado,tp_result_histopatologia,VARCHAR(1),"1-Positivo
2-Negativo
3-Inconclusivo
4-Não realizado",Resultado Exame de Histopatologia,"Campo essencial
Habilitado apenas se
campo 2-Agravo/doença=
1- Dengue",HISTOPA_N
40,49-Imunohistoquímica Resultado,tp_result_imunohistoquimica,VARCHAR(1),"1-Positivo
2-Negativo
3-Inconclusivo
4-Não realizado",Resultado Exame de Imunohistoquímica,"Campo essencial
Habilitado apenas se
campo 2-Agravo/doença=
1- Dengue",IMUNOH_N
41,50-Ocorreu Hospitalização?,st_ocorreu_hospitalizacao,VARCHAR(1),"1-Sim
2-Não
9-Ignorado",Informa se ocorreu hospitalização,"Se campo = 2 – Não ou 9-
Ignorado, pular para o
campo 56-Local Provável
de Infecção",HOSPITALIZ
42,51-Data Da Internação,dt_internacao,DATE,,Informar a data de internação do paciente,"Habilitado se campo 50-
Ocorreu Hospitalização?
=1(sim).",DT_INTERNA
43,52-UF De Hospitalização,co_uf_hospital,VARCHAR(2),,Sigla da UF onde o paciente foi hospitalizado,"Habilitado se campo 50-
Ocorreu Hospitalização?
=1(sim).",UF
44,53-Municipio Do Hospital,co_municipio_hospital,VARCHAR(6),,"Código e nome completo do município onde
o paciente foi hospitalizado","Habilitado se campo 50-
Ocorreu Hospitalização?=1(sim).",MUNICIPIO
45,54-Nome Do Hospital,co_unidade_hospital,VARCHAR(8),,"Nome completo da unidade de saúde em que
o paciente foi notificado","Habilitado se campo 50-
Ocorreu Hospitalização?
=1(sim).",HOSPITAL
46,55-(DDD),nu_ddd_hospital,VARCHAR(2),,"Código DDD do telefone da unidade de saúde
onde o paciente foi hospitalizado","Habilitado se campo 50-
Ocorreu Hospitalização?
=1(sim).",DDD_HOSP
47,55-Telefone,nu_telefone_hospital,VARCHAR(9),,"Telefone da unidade de saúde onde o
paciente foi hospitalizado","Habilitado se campo 50-
Ocorreu Hospitalização?
=1(sim).",TEL_HOSP
48,56-O caso é Autóctone de residência?,tp_autoctone_residencia,varchar2(1),"1 – Sim
2 – Não
3 – Indeterminado","Indica se o caso é autóctone do município de
residência .","Campo Essencial se
campo 62 (classificação)
for diferente de 5
(descartado) ou null.
Campo habilitado se
classificação =10, 11, 12
ou 13
Se igual a 1 (sim), o
sistema deve preencher
automaticamente os
campos 57 a 59 (UF, País
e Município) com os
valores registrados nos
campos 17, 30 e 18
respectivamente e
habilitar para o usuário
preencher os campos 60 e
61 (distrito e bairro);
Se igual a 2 (Não), o
sistema deve habilitar
para o usuário preencher
os campos de 56 a 60
(UF, País e Município,
distrito e bairro);
Se igual a 3
(Indeterminado),
pular os campos de 56 a
60 (UF, País, Município,
Distrito e Bairro).
Quando a classificação for
preenchida com 5
(descartado) os dados
desse campo são
automaticamente
Apagados.",TPAUTOCTO
49,57-UF (provável da fonte de infecção),co_uf_infeccao,varchar2(2),"Tabela com siglas
e código
padronizados pelo
IBGE","Sigla da unidade federada onde o paciente foi
provavelmente infectado.","Campo Essencial se
campo 58 (País) for igual
a Brasil E campo 62
(classificação)
for diferente de 5
(descartado).
Se o campo 56 (O caso é
autóctone do município de
residência) for igual a 1
(sim), o sistema preenche
automaticamente com o
dado do campo 17 (UF de
residência);
Quando o campo 62
(classificação) for
preenchida com 5
(descartado) os dados
desse campo são
automaticamente
apagados.",COUFINF
50,58-País (provável da fonte de infecção),co_pais_infeccao,varchar(4),"Tabela com
código e descrição
de paises.","País onde o paciente foi provavelmente
infectado.","Campo Essencial se
campo 62 (classificação)
for diferente de 5
(descartado).
Se o campo 56 (O caso é
autóctone do município de
residência) for igual a 1
(sim), o sistema deve
preencher
automaticamente com o
dado do campo 30 (país
de residência);
Se país de residência for
diferente de BRASIL, o
usuário deverá informar o país e acrescentar as
demais informações no
campo observações
adicionais.
Se campo 56 (O caso é
Autóctone de residência?)
for igual a 2 (não) e o
usuário preencher o
campo 57-UF(provável da
fonte de infecção), o
sistema preenche
automaticamente com o
campo 58-País (provável
da fonte de infecção) com
Brasil.
Se o campo 57-
UF(provável da fonte de
infecção) for apagado pelo
usuário o sistema apaga
automaticamente o campo
58-País (provável da fonte
de infecção) com Brasil.
Quando o campo 62.
classificação for
preenchida com
5(descartado) os dados
desse campo são
automaticamente
Apagados.",COPAISINF
51,59-Município (provável da fonte de infecção),co_municipio_infeccao,varchar2(6),"Tabela com
Códigos e nomes
padronizados pelo
IBGE","Código do município onde o paciente foi
provavelmente infectado. O nome está
associado ao código na tabela de municípios.","Campo Essencial se
campo 58 (país de
infecção) for igual a Brasil
e campo 62 (classificação)
for diferente de 5
(descartado). Se o campo 56 (O caso é
autóctone do município de
residência) for igual a 1
(sim), o sistema deve
preencher
automaticamente com o
dado do campo 18
(município de residência).
Quando o campo 62
(classificação) for
preenchida com 5
(descartado) os dados
desse campo são
automaticamente
Apagados.",COMUNINF
52,60-Distrito (provável de infecção),co_distrito_infeccão,varchar2(4),"Tabela com
Códigos e nomes
padronizados
segundo Tabela
disponibilizada
pelo sistema para
cadastramento
pelo gestor
municipal do
Sinan.","Código do Distrito provável de Infecção do
caso. O nome está associado ao código em
tabela.","Campo Essencial se o
município de infecção,
informado no campo 58,
for subdividido em distrito
E campo 58 (país de
infecção) for igual a Brasil
E campo 62
(classificação) for
diferente de 5
(descartado).
Quando o campo 62
(classificação) for
preenchida com 5
(descartado) os dados
desse campo são
automaticamente
apagados.",CODISINF
53,61-Bairro (provável de infecção),"co_bairro_infeccao
no_bairro_infeccao","number(8)
vachar2(60)","Tabela de
localidades
(código e nomes)
carregada a partir
do sistema
LOCALIDADE.","Código do bairro provável de Infecção do
caso.
Nome do bairro provável de infecção do caso.","Campo Essencial se o
município de infecção,
informado no campo 59,
for subdividido em bairro
E
campo 58 (país de
infecção) for igual a Brasil
E campo 62
(classificação) for
diferente de 5
(descartado).
Quando o campo 62
(classificação) for
preenchido com 5
(descartado) os dados
desse campo são tabelados, ou seja, se o
bairro não existir na tabela
o campo ficará em branco
uma vez que o usuário
não poderá digitar no
sistema, apenas poderá
selecionar um existente. A
tabela de bairro carregada
pelo DATASUS será
nacional para a localidade
e extraída da tabela de
localidade do sistema
LOCALIDADE.
automaticamente
apagados.","CO_BAINF
NOBAIINF"
54,62-Classificação,tp_classificacao_final,VARCHAR(1),"5-Descartado
10-Dengue
11-Dengue com
sinais de alarme
12-Dengue grave
13-Chikungunya",Informar a classificação do caso.,"Campo Obrigatório
quando o campo data de
encerramento estiver
preenchido.
Desabilitar categoria 13-
Chikungunya se campo 2-
Notificação= 1-Dengue.
Desabilitar categorias 10-
Dengue, 11-Dengue com
sinais de alarme e 12-
Dengue grave se campo
2-Notificação= 2-
Chikungunya",CLASSI_FIN
55,63-Critério De Confirmação/Descarte,tp_criterio_confirmacao,VARCHAR(2),"1-Laboratório
2-Clínico
Epidemiológico
3-Em investigação",Informar o critério de confirmação/descarte,"Campo Obrigatório se
classificação
preenchidaSe campo 62-
Classificação = 5, pular
para o campo 65
(Evolução do Caso), após
o preenchimento do
campo 63-Critério de
confirmação descarte.",CRITERIO
56,64- Apresentação clínica Chikungunya,,VARCHAR(1),"1- Aguda
2- Crônica","Informar a apresentação clínica do caso de
Chikungunya","Campo Obrigatório
Se campo 62-
Classificação=13
Chikungunya e se campo
63-Critério de
confirmação/descarte= -
Laboratório ou 2-Clínico
epidemiológico",CLINIC_CHIK
57,65-Evolução Do Caso,tp_evolucao_caso,VARCHAR(1),"1- cura
2- óbito pelo
agravo
3- óbito por outras
causas
4- óbito em
investigação
9- ignorado",Informar a evolução do caso.,"Campo essencial
- Se campo Evolução do
caso =1(cura) ou 9
(ignorado) ou null, pular
para campo 67. Data do
encerramento.",EVOLUCAO
58,66-Data do Óbito,dt_obito,DATE,,Informar a data do óbito.,"Campo Obrigatório se
campo 65. Evolução do
caso =2 (óbito pelo
agravo) ou 3 (óbito por
outras causas) ou 4 (óbito
em investigação).
Data deve ser maior ou
igual a Data dos Primeiros
Sintomas.",DT_OBITO
59,67-Data Do Encerramento,dt_encerramento,DATE,,Informar a data do encerramento do caso,"Campo Obrigatório
quando campo 62.
Classificação estiver
preenchido E o campo
critério de confirmação
(63) for diferente de 3.
Campo desabilitado se o
campo critério de
confirmação (63) for igual
A 3.
Data deve ser maior ou
igual a Data da
Investigação",DT_ENCERRA
60,68- Dengue com sinais de alarme (Hipotensão),,VARCHAR(1),"1 – Sim
2 – Não",Informar qual sinal de alarme foi encontrado,"Campo obrigatório
Se campo 62-
Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e campo
63. Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Desabilitado se campo 62-
Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
grave.",ALRM_HIPOT
61,68- Dengue com sinais de alarme (Queda abrupta de plaquetas),,VARCHAR(1),"1 – Sim
2 – Não",Informar qual sinal de alarme foi encontrado,"Campo obrigatório
Se campo 62-
Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e campo
63. Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
Grave.",ALRM_PLAQ
62,68- Dengue com sinais de alarme (Vômitos persistentes),,VARCHAR(1),"1 – Sim
2 – Não",Informar qual sinal de alarme foi encontrado,"Campo obrigatório
Se campo 62-
Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e campo
63. Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Desabilitado se campo 62-
Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
grave.",ALRM_VOM
63,68- Dengue com sinais de alarme (Dor abdominal),,VARCHAR(1),"1 – Sim
2 – Não",Informar qual sinal de alarme foi encontrado,"Campo obrigatório
Se campo 62-Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e campo
63. Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Desabilitado se campo 62-
Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
Grave.",ALRM_ABDOM
64,68- Dengue com sinais de alarme (Letargia ou irritabilidade),,VARCHAR(1),"1 – Sim
2 – Não",Informar qual sinal de alarme foi encontrado,"Campo obrigatório
Se campo 62-
Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e campo
63. Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
Grave.",ALRM_LETAR
65,68- Dengue com sinais de alarme (Sangramento de mucosa/outras hemorragias),,VARCHAR(1),"1 – Sim
2 – Não",Informar qual sinal de alarme foi encontrado,"Campo obrigatório
Se campo 62-
Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e campo
63.Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Desabilitado se campo 62-
Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
grave.",ALRM_SANG
66,68- Dengue com sinais de alarme (Aumento hematócrito),,VARCHAR(1),"1 – Sim
2 – Não",Informar qual sinal de alarme foi encontrado,"Campo obrigatório
Se campo 62-
Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e Critério
de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
Grave.",ALRM_HEMAT
67,68- Dengue com sinais de alarme (Hepatomegalia),,VARCHAR(1),"1 – Sim
2 – Não",Informar qual sinal de alarme foi encontrado,"Campo obrigatório
Se campo 62-
Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e campo
63.Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
Grave.",ALRM_HEPAT
68,68- Dengue com sinais de alarme (Acúmulo de líquidos),,VARCHAR(1),"1 – Sim
2 – Não",Informar qual sinal de alarme foi encontrado,"Campo obrigatório
Se campo 62-
Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico
Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e Critério
de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
grave.",ALRM_LIQ
69,69- Dengue com sinais de alarme Data de início dos sintomas,,DATE,,"Informar data de início dos sinais de alarme.
Considerar a data do primeiro sinal de alarme
manifestado.","Campo obrigatório
Se campo 62-
Classificação = 11
Dengue com Sinais de
Alarme e campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
Epidemiológico 

Campo habilitado também
se campo 62-
Classificação = 12-
Dengue grave e Critério
de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 11-Dengue com Sinais
de Alarme e 12-Dengue
grave.",DT_ALRM
70,70- Dengue grave (Pulso débil ou indectável),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue grave campo 63-
Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_PULSO
71,70- Dengue grave (PA convergente),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue Grave 63-Critério
de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_CONV
72,70- Dengue grave (Tempo de enchimento capilar),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue grave e campo
63-Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_ENCH
73,70- Dengue grave (Acúmulo de líquidos com insuficiência respiratória),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue grave e campo
63-Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_INSUF
74,70- Dengue grave (Taquicardia),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue grave e campo
63-Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_TAQUI
75,70- Dengue grave (Extremidade frias),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-Classificação = 12
Dengue grave e campo
63-Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_EXTRE
76,70- Dengue grave (Hipotensão arterial em fase tardia),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue grave e campo
63-Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_HIPOT
77,70- Dengue grave (Hematêmese),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue grave e campo
63-Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_HEMAT
78,70- Dengue grave (Melena),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue grave e campo 63-Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_MELEN
79,70- Dengue grave (Metrorragia volumosa),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue grave e campo
63-Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_METRO
80,70- Dengue grave (Sangramento do SNC),,VARCHAR(1),"1 – Sim
2 – Não","Informar qual sinal de gravidade foi
encontrado","Campo obrigatório
Se campo 62-
Classificação = 12
Dengue grave e campo
63-Critério de
confirmação/descarte=1
Laboratorial ou 2-Clínico
epidemiológico.
Desabilitado se campo 62-
Classificação for diferente
de 12-Dengue grave.",GRAV_SANG
